subject,activity,feat_domain,feat_acceleration,feat_instru,feat_jerk,feat_magnitude,feat_var,feat_axis,count,average
1,LAYING,Time,NA,Gyroscope,NA,NA,Mean,X,50,-0.016553094
1,LAYING,Time,NA,Gyroscope,NA,NA,Mean,Y,50,-0.064486124
1,LAYING,Time,NA,Gyroscope,NA,NA,Mean,Z,50,0.148689436
1,LAYING,Time,NA,Gyroscope,NA,NA,StD,X,50,-0.873543868
1,LAYING,Time,NA,Gyroscope,NA,NA,StD,Y,50,-0.95109044
1,LAYING,Time,NA,Gyroscope,NA,NA,StD,Z,50,-0.908284663
1,LAYING,Time,NA,Gyroscope,NA,Magnitude,Mean,NA,50,-0.874759548
1,LAYING,Time,NA,Gyroscope,NA,Magnitude,StD,NA,50,-0.81901017
1,LAYING,Time,NA,Gyroscope,Jerk,NA,Mean,X,50,-0.107270949
1,LAYING,Time,NA,Gyroscope,Jerk,NA,Mean,Y,50,-0.041517287
1,LAYING,Time,NA,Gyroscope,Jerk,NA,Mean,Z,50,-0.074050121
1,LAYING,Time,NA,Gyroscope,Jerk,NA,StD,X,50,-0.918608521
1,LAYING,Time,NA,Gyroscope,Jerk,NA,StD,Y,50,-0.967907244
1,LAYING,Time,NA,Gyroscope,Jerk,NA,StD,Z,50,-0.95779016
1,LAYING,Time,NA,Gyroscope,Jerk,Magnitude,Mean,NA,50,-0.96346103
1,LAYING,Time,NA,Gyroscope,Jerk,Magnitude,StD,NA,50,-0.935840983
1,LAYING,Time,Body,Accelerometer,NA,NA,Mean,X,50,0.221598244
1,LAYING,Time,Body,Accelerometer,NA,NA,Mean,Y,50,-0.040513953
1,LAYING,Time,Body,Accelerometer,NA,NA,Mean,Z,50,-0.113203554
1,LAYING,Time,Body,Accelerometer,NA,NA,StD,X,50,-0.928056469
1,LAYING,Time,Body,Accelerometer,NA,NA,StD,Y,50,-0.836827406
1,LAYING,Time,Body,Accelerometer,NA,NA,StD,Z,50,-0.826061402
1,LAYING,Time,Body,Accelerometer,NA,Magnitude,Mean,NA,50,-0.841929153
1,LAYING,Time,Body,Accelerometer,NA,Magnitude,StD,NA,50,-0.795144864
1,LAYING,Time,Body,Accelerometer,Jerk,NA,Mean,X,50,0.081086534
1,LAYING,Time,Body,Accelerometer,Jerk,NA,Mean,Y,50,0.003838204
1,LAYING,Time,Body,Accelerometer,Jerk,NA,Mean,Z,50,0.010834236
1,LAYING,Time,Body,Accelerometer,Jerk,NA,StD,X,50,-0.958482112
1,LAYING,Time,Body,Accelerometer,Jerk,NA,StD,Y,50,-0.924149274
1,LAYING,Time,Body,Accelerometer,Jerk,NA,StD,Z,50,-0.954855111
1,LAYING,Time,Body,Accelerometer,Jerk,Magnitude,Mean,NA,50,-0.954396265
1,LAYING,Time,Body,Accelerometer,Jerk,Magnitude,StD,NA,50,-0.928245628
1,LAYING,Time,Gravity,Accelerometer,NA,NA,Mean,X,50,-0.248881798
1,LAYING,Time,Gravity,Accelerometer,NA,NA,Mean,Y,50,0.705549773
1,LAYING,Time,Gravity,Accelerometer,NA,NA,Mean,Z,50,0.44581772
1,LAYING,Time,Gravity,Accelerometer,NA,NA,StD,X,50,-0.896830018
1,LAYING,Time,Gravity,Accelerometer,NA,NA,StD,Y,50,-0.907720007
1,LAYING,Time,Gravity,Accelerometer,NA,NA,StD,Z,50,-0.85236629
1,LAYING,Time,Gravity,Accelerometer,NA,Magnitude,Mean,NA,50,-0.841929153
1,LAYING,Time,Gravity,Accelerometer,NA,Magnitude,StD,NA,50,-0.795144864
1,LAYING,Freq,NA,Gyroscope,NA,NA,Mean,X,50,-0.850249175
1,LAYING,Freq,NA,Gyroscope,NA,NA,Mean,Y,50,-0.952191495
1,LAYING,Freq,NA,Gyroscope,NA,NA,Mean,Z,50,-0.909302721
1,LAYING,Freq,NA,Gyroscope,NA,NA,StD,X,50,-0.882296451
1,LAYING,Freq,NA,Gyroscope,NA,NA,StD,Y,50,-0.951232049
1,LAYING,Freq,NA,Gyroscope,NA,NA,StD,Z,50,-0.916582508
1,LAYING,Freq,NA,Gyroscope,NA,Magnitude,Mean,NA,50,-0.862190185
1,LAYING,Freq,NA,Gyroscope,NA,Magnitude,StD,NA,50,-0.82431944
1,LAYING,Freq,NA,Gyroscope,Jerk,Magnitude,Mean,NA,50,-0.942366947
1,LAYING,Freq,NA,Gyroscope,Jerk,Magnitude,StD,NA,50,-0.932660668
1,LAYING,Freq,Body,Accelerometer,NA,NA,Mean,X,50,-0.939099052
1,LAYING,Freq,Body,Accelerometer,NA,NA,Mean,Y,50,-0.867065205
1,LAYING,Freq,Body,Accelerometer,NA,NA,Mean,Z,50,-0.882666876
1,LAYING,Freq,Body,Accelerometer,NA,NA,StD,X,50,-0.924437435
1,LAYING,Freq,Body,Accelerometer,NA,NA,StD,Y,50,-0.833625556
1,LAYING,Freq,Body,Accelerometer,NA,NA,StD,Z,50,-0.812891559
1,LAYING,Freq,Body,Accelerometer,NA,Magnitude,Mean,NA,50,-0.861767648
1,LAYING,Freq,Body,Accelerometer,NA,Magnitude,StD,NA,50,-0.79830094
